,State FIPS Code,County FIPS Code,Year,Max_pm2.5
0,4,1,2011,11.8
1,4,1,2012,7.3
3,4,1,2014,7.4
4,4,1,2015,6.5
5,4,1,2016,8.7
6,4,1,2017,7.2
7,4,1,2018,4.3
8,4,1,2019,4.3
9,4,3,2011,14.8
10,4,3,2012,13.1
11,4,3,2013,65.0
12,4,3,2014,127.0
13,4,3,2015,75.0
14,4,3,2016,368.0
15,4,3,2017,105.0
16,4,3,2018,89.0
17,4,3,2019,134.0
18,4,5,2011,15.1
19,4,5,2012,14.1
20,4,5,2013,11.1
57,4,12,2014,54.0
58,4,12,2015,73.0
59,4,12,2016,91.0
60,4,12,2017,65.0
61,4,12,2018,96.0
62,4,12,2019,39.0
63,4,13,2011,377.0
64,4,13,2012,523.0
65,4,13,2013,433.6
66,4,13,2014,1167.0
67,4,13,2015,160.8
68,4,13,2016,392.2
69,4,13,2017,368.5
70,4,13,2018,376.0
71,4,13,2019,258.7
72,4,15,2011,4.6
73,4,15,2012,10.5
74,4,15,2013,14.2
75,4,15,2014,9.5
76,4,15,2015,11.1
77,4,15,2016,21.0
90,4,19,2011,70.0
91,4,19,2012,66.0
92,4,19,2013,172.0
93,4,19,2014,70.0
94,4,19,2015,53.0
95,4,19,2016,70.0
96,4,19,2017,128.0
97,4,19,2018,341.0
98,4,19,2019,45.0
99,4,21,2011,31.1
100,4,21,2012,20.9
101,4,21,2013,17.6
102,4,21,2014,17.5
103,4,21,2015,231.0
104,4,21,2016,325.0
105,4,21,2017,320.0
106,4,21,2018,471.0
107,4,21,2019,98.0
108,4,23,2011,29.1
109,4,23,2012,29.0
110,4,23,2013,337.0
111,4,23,2014,425.0
112,4,23,2015,288.0
113,4,23,2016,352.0
114,4,23,2017,379.0
115,4,23,2018,354.0
116,4,23,2019,222.0
117,4,25,2011,14.3
118,4,25,2012,14.0
119,4,25,2013,9.7
126,4,27,2011,15.7
127,4,27,2012,17.0
128,4,27,2013,213.0
129,4,27,2014,278.0
130,4,27,2015,101.0
131,4,27,2016,804.0
132,4,27,2017,190.0
133,4,27,2018,159.0
134,4,27,2019,104.0
135,6,1,2011,74.0
136,6,1,2012,56.0
137,6,1,2013,75.0
138,6,1,2014,68.0
139,6,1,2015,72.0
140,6,1,2016,114.0
141,6,1,2017,89.0
142,6,1,2018,287.0
143,6,1,2019,102.0
162,6,7,2011,51.8
163,6,7,2012,28.6
164,6,7,2013,31.9
165,6,7,2014,58.6
166,6,7,2015,39.0
167,6,7,2016,37.2
168,6,7,2017,45.2
169,6,7,2018,411.7
170,6,7,2019,265.0
171,6,9,2011,152.0
172,6,9,2012,93.0
173,6,9,2013,170.0
174,6,9,2014,145.0
175,6,9,2015,985.0
176,6,9,2016,96.0
177,6,9,2017,184.0
178,6,9,2018,199.0
179,6,9,2019,69.0
180,6,11,2011,166.0
181,6,11,2012,801.0
182,6,11,2013,120.0
183,6,11,2014,59.0
184,6,11,2015,271.0
185,6,11,2016,179.0
186,6,11,2017,918.0
187,6,11,2018,260.0
188,6,11,2019,97.0
189,6,13,2011,47.5
190,6,13,2012,99.0
191,6,13,2013,61.0
192,6,13,2014,53.0
193,6,13,2015,72.0
194,6,13,2016,128.0
195,6,13,2017,218.0
196,6,13,2018,223.0
197,6,13,2019,49.0
203,6,15,2016,54.2
204,6,15,2017,78.6
205,6,15,2018,61.5
216,6,19,2011,133.3
217,6,19,2012,138.9
218,6,19,2013,101.7
219,6,19,2014,96.1
220,6,19,2015,106.3
221,6,19,2016,137.0
222,6,19,2017,180.1
223,6,19,2018,137.4
224,6,19,2019,342.6
234,6,23,2011,105.8
235,6,23,2012,82.2
236,6,23,2013,130.9
237,6,23,2014,179.0
238,6,23,2015,75.2
239,6,23,2016,20.0
240,6,23,2017,30.5
241,6,23,2018,16.3
242,6,23,2019,18.7
243,6,25,2011,32.4
244,6,25,2012,30.7
245,6,25,2013,36.3
246,6,25,2014,311.0
247,6,25,2015,448.0
248,6,25,2016,45.3
249,6,25,2017,45.8
250,6,25,2018,47.5
251,6,25,2019,53.1
252,6,27,2011,768.4
253,6,27,2012,517.8
254,6,27,2013,914.0
255,6,27,2014,955.1
256,6,27,2015,130.8
257,6,27,2016,81.9
258,6,27,2017,159.7
259,6,27,2018,121.9
260,6,27,2019,322.1
261,6,29,2011,192.0
262,6,29,2012,321.0
263,6,29,2013,354.0
264,6,29,2014,245.0
