,Year,Zip_Code,Number_of_Asthma_ED_Visits,Age_Adjusted_Rate_of_Asthma_ED_V,Age_Group,county
0,2013,90001,441,85.1,All Ages,Los Angeles
1,2013,90002,425,79.1,All Ages,Los Angeles
2,2013,90003,594,88.1,All Ages,Los Angeles
3,2013,90004,270,49.5,All Ages,Los Angeles
4,2013,90005,128,34.6,All Ages,Los Angeles
5,2013,90006,252,43.4,All Ages,Los Angeles
6,2013,90007,185,65.3,All Ages,Los Angeles
7,2013,90008,304,96.7,All Ages,Los Angeles
8,2013,90011,707,69.0,All Ages,Los Angeles
9,2013,90012,69,29.0,All Ages,Los Angeles
10,2013,90013,118,118.0,All Ages,Los Angeles
11,2013,90014,79,113.3,All Ages,Los Angeles
12,2013,90015,129,72.2,All Ages,Los Angeles
13,2013,90016,377,81.0,All Ages,Los Angeles
14,2013,90017,146,63.8,All Ages,Los Angeles
15,2013,90018,341,67.5,All Ages,Los Angeles
16,2013,90019,366,59.1,All Ages,Los Angeles
17,2013,90020,112,32.9,All Ages,Los Angeles
18,2013,90021,58,174.4,All Ages,Los Angeles
19,2013,90022,436,65.0,All Ages,Los Angeles
20,2013,90023,303,62.3,All Ages,Los Angeles
21,2013,90024,56,21.6,All Ages,Los Angeles
22,2013,90025,58,15.9,All Ages,Los Angeles
23,2013,90026,261,42.1,All Ages,Los Angeles
24,2013,90027,170,41.7,All Ages,Los Angeles
25,2013,90028,190,76.4,All Ages,Los Angeles
26,2013,90029,214,57.9,All Ages,Los Angeles
27,2013,90031,148,35.8,All Ages,Los Angeles
28,2013,90032,244,53.9,All Ages,Los Angeles
29,2013,90033,445,91.0,All Ages,Los Angeles
30,2013,90034,153,30.9,All Ages,Los Angeles
31,2013,90035,73,24.6,All Ages,Los Angeles
32,2013,90036,93,29.2,All Ages,Los Angeles
33,2013,90037,522,83.9,All Ages,Los Angeles
34,2013,90038,97,40.4,All Ages,Los Angeles
35,2013,90039,131,50.2,All Ages,Los Angeles
36,2013,90040,85,86.1,All Ages,Los Angeles
37,2013,90041,102,36.3,All Ages,Los Angeles
38,2013,90042,267,44.3,All Ages,Los Angeles
39,2013,90043,459,105.2,All Ages,Los Angeles
40,2013,90044,979,103.5,All Ages,Los Angeles
41,2013,90045,113,33.2,All Ages,Los Angeles
42,2013,90046,99,24.7,All Ages,Los Angeles
43,2013,90047,575,120.4,All Ages,Los Angeles
44,2013,90048,43,21.1,All Ages,Los Angeles
45,2013,90049,29,8.2,All Ages,Los Angeles
46,2013,90056,26,35.6,All Ages,Los Angeles
47,2013,90057,214,50.3,All Ages,Los Angeles
48,2013,90058,38,117.5,All Ages,Los Angeles
49,2013,90059,430,94.2,All Ages,Los Angeles
50,2013,90061,263,93.9,All Ages,Los Angeles
51,2013,90062,312,97.2,All Ages,Los Angeles
52,2013,90063,287,49.9,All Ages,Los Angeles
53,2013,90064,52,20.5,All Ages,Los Angeles
54,2013,90065,271,60.9,All Ages,Los Angeles
55,2013,90066,143,28.9,All Ages,Los Angeles
56,2013,90068,31,12.4,All Ages,Los Angeles
57,2013,90069,40,17.4,All Ages,Los Angeles
58,2013,90201,462,43.7,All Ages,Los Angeles
59,2013,90210,38,17.1,All Ages,Los Angeles
60,2013,90211,20,28.2,All Ages,Los Angeles
61,2013,90212,20,16.6,All Ages,Los Angeles
62,2013,90220,439,85.8,All Ages,Los Angeles
63,2013,90221,420,77.6,All Ages,Los Angeles
