"StateFIPS","State","CountyFIPS","County","Year","Value","Data Comment",
"44","Rhode Island","44001","Bristol","2011","126","",
"44","Rhode Island","44001","Bristol","2012","140","",
"44","Rhode Island","44001","Bristol","2013","129","",
"44","Rhode Island","44001","Bristol","2014","136","",
"44","Rhode Island","44001","Bristol","2015","138","",
"44","Rhode Island","44001","Bristol","2016","148","",
"44","Rhode Island","44001","Bristol","2017","124","",
"44","Rhode Island","44001","Bristol","2018","69","",
"44","Rhode Island","44001","Bristol","2019","113","",
"44","Rhode Island","44003","Kent","2011","802","",
"44","Rhode Island","44003","Kent","2012","871","",
"44","Rhode Island","44003","Kent","2013","645","",
"44","Rhode Island","44003","Kent","2014","783","",
"44","Rhode Island","44003","Kent","2015","697","",
"44","Rhode Island","44003","Kent","2016","636","",
"44","Rhode Island","44003","Kent","2017","531","",
"44","Rhode Island","44003","Kent","2018","489","",
"44","Rhode Island","44003","Kent","2019","381","",
"44","Rhode Island","44005","Newport","2011","368","",
"44","Rhode Island","44005","Newport","2012","400","",
"44","Rhode Island","44005","Newport","2013","402","",
"44","Rhode Island","44005","Newport","2014","336","",
"44","Rhode Island","44005","Newport","2015","300","",
"44","Rhode Island","44005","Newport","2016","282","",
"44","Rhode Island","44005","Newport","2017","274","",
"44","Rhode Island","44005","Newport","2018","260","",
"44","Rhode Island","44005","Newport","2019","268","",
"44","Rhode Island","44007","Providence","2011","4,609","",
"44","Rhode Island","44007","Providence","2012","4,486","",
"44","Rhode Island","44007","Providence","2013","4,290","",
"44","Rhode Island","44007","Providence","2014","4,631","",
"44","Rhode Island","44007","Providence","2015","4,344","",
"44","Rhode Island","44007","Providence","2016","4,082","",
"44","Rhode Island","44007","Providence","2017","4,034","",
"44","Rhode Island","44007","Providence","2018","3,645","",
"44","Rhode Island","44007","Providence","2019","3,700","",
"44","Rhode Island","44009","Washington","2011","501","",
"44","Rhode Island","44009","Washington","2012","536","",
"44","Rhode Island","44009","Washington","2013","441","",
"44","Rhode Island","44009","Washington","2014","394","",
"44","Rhode Island","44009","Washington","2015","399","",
"44","Rhode Island","44009","Washington","2016","326","",
"44","Rhode Island","44009","Washington","2017","297","",
"44","Rhode Island","44009","Washington","2018","321","",
"44","Rhode Island","44009","Washington","2019","259","",
