,state_code,county_code,year,first_max,second_max,third_max,fourth_max
0,4,1,2011,11.8,7.9,6.2,5.8
1,4,1,2012,7.3,6.5,6,5.8
2,4,1,2013,,,,
3,4,1,2014,7.4,7.3,6.5,5.9
4,4,1,2015,6.5,5.2,4.7,4.4
5,4,1,2016,8.7,6.2,5.9,5.6
6,4,1,2017,7.2,6.7,6,5.9
7,4,1,2018,4.3,3.6,3,3
8,4,1,2019,4.3,3.5,3.5,3.4
9,4,3,2011,14.8,13,11.5,10.4
10,4,3,2012,13.1,12.1,11.4,11.1
11,4,3,2013,65,59,53,51
12,4,3,2014,127,99,80,79
13,4,3,2015,75,54,53,53
14,4,3,2016,368,118,97,96
15,4,3,2017,105,74,62,59
16,4,3,2018,89,77,70,66
17,4,3,2019,134,60,51,48
18,4,5,2011,15.1,14,11.2,10.7
19,4,5,2012,14.1,11.9,11.9,11.2
20,4,5,2013,11.1,10.2,9.6,8.7
21,4,5,2014,,,,
22,4,5,2015,,,,
23,4,5,2016,,,,
24,4,5,2017,,,,
25,4,5,2018,,,,
26,4,5,2019,,,,
27,4,7,2011,,,,
28,4,7,2012,,,,
29,4,7,2013,,,,
30,4,7,2014,,,,
31,4,7,2015,,,,
32,4,7,2016,,,,
33,4,7,2017,,,,
34,4,7,2018,,,,
35,4,7,2019,,,,
36,4,9,2011,,,,
37,4,9,2012,,,,
38,4,9,2013,,,,
39,4,9,2014,,,,
40,4,9,2015,,,,
41,4,9,2016,,,,
42,4,9,2017,,,,
43,4,9,2018,,,,
44,4,9,2019,,,,
45,4,11,2011,,,,
46,4,11,2012,,,,
47,4,11,2013,,,,
48,4,11,2014,,,,
49,4,11,2015,,,,
50,4,11,2016,,,,
51,4,11,2017,,,,
52,4,11,2018,,,,
53,4,11,2019,,,,
54,4,12,2011,,,,
55,4,12,2012,,,,
56,4,12,2013,,,,
57,4,12,2014,54,54,52,52
58,4,12,2015,73,62,34,33
59,4,12,2016,91,59,52,41
60,4,12,2017,65,63,51,50
61,4,12,2018,96,81,49,44
62,4,12,2019,39,37,35,26
63,4,13,2011,377,301.6,299,293.1
64,4,13,2012,523,446.6,359.5,355.8
65,4,13,2013,433.6,349,339,218.1
66,4,13,2014,1167,675,546.9,516.2
67,4,13,2015,160.8,155.9,125,112.6
68,4,13,2016,392.2,382.6,359,358.4
69,4,13,2017,368.5,345.8,274.7,250.2
70,4,13,2018,376,279.2,209.8,163.6
71,4,13,2019,258.7,213,110.6,95.7
72,4,15,2011,4.6,3.7,3.7,3.4
73,4,15,2012,10.5,10.1,6.7,6
74,4,15,2013,14.2,7.7,6.8,6.6
75,4,15,2014,9.5,7.7,6,5.1
76,4,15,2015,11.1,9.6,7.6,6.6
77,4,15,2016,21,10,9,8.8
78,4,15,2017,,,,
79,4,15,2018,,,,
80,4,15,2019,,,,
81,4,17,2011,,,,
82,4,17,2012,,,,
83,4,17,2013,,,,
84,4,17,2014,,,,
85,4,17,2015,,,,
86,4,17,2016,,,,
87,4,17,2017,,,,
88,4,17,2018,,,,
89,4,17,2019,,,,
90,4,19,2011,70,52,44,42
91,4,19,2012,66,60,57,54
92,4,19,2013,172,157,91,89
93,4,19,2014,70,69,67,60
94,4,19,2015,53,46,46,40
95,4,19,2016,70,52,51,49
96,4,19,2017,128,119,100,98
97,4,19,2018,341,248,99,94
98,4,19,2019,45,38,37,32
99,4,21,2011,31.1,22.3,17.7,17
100,4,21,2012,20.9,18.5,17.8,17.1
101,4,21,2013,17.6,16.6,16.6,11.6
102,4,21,2014,17.5,16.8,13,12.3
103,4,21,2015,231,140,122,113
104,4,21,2016,325,109,104,104
105,4,21,2017,320,266,247,134
106,4,21,2018,471,454,355,347
107,4,21,2019,98,82,72,68
108,4,23,2011,29.1,27.2,25.1,22.9
109,4,23,2012,29,25.9,23.2,22.7
110,4,23,2013,337,251,220,182
111,4,23,2014,425,425,420,413
112,4,23,2015,288,202,129,123
113,4,23,2016,352,349,315,311
114,4,23,2017,379,368,347,344
115,4,23,2018,354,340,323,253
116,4,23,2019,222,100,98,97
117,4,25,2011,14.3,10.2,7.7,6
118,4,25,2012,14,10.8,10.2,9.4
119,4,25,2013,9.7,8.4,8.4,7.1
120,4,25,2014,,,,
121,4,25,2015,,,,
122,4,25,2016,,,,
123,4,25,2017,,,,
124,4,25,2018,,,,
125,4,25,2019,,,,
126,4,27,2011,15.7,15.6,13.7,12.7
127,4,27,2012,17,15.8,15.3,14.5
128,4,27,2013,213,106,102,89
129,4,27,2014,278,234,201,174
130,4,27,2015,101,97,90,81
131,4,27,2016,804,280,271,169
132,4,27,2017,190,173,143,139
133,4,27,2018,159,148,137,130
134,4,27,2019,104,89,82,73
135,6,1,2011,74,74,70,70
136,6,1,2012,56,54,53,51
137,6,1,2013,75,71,69,68
138,6,1,2014,68,67,67,66
139,6,1,2015,72,64,59,55
140,6,1,2016,114,43,43,41
141,6,1,2017,89,81,79,76
142,6,1,2018,287,272,265,262
143,6,1,2019,102,53,52,51
144,6,3,2011,,,,
145,6,3,2012,,,,
146,6,3,2013,,,,
147,6,3,2014,,,,
148,6,3,2015,,,,
149,6,3,2016,,,,
150,6,3,2017,,,,
151,6,3,2018,,,,
152,6,3,2019,,,,
153,6,5,2011,,,,
154,6,5,2012,,,,
155,6,5,2013,,,,
156,6,5,2014,,,,
157,6,5,2015,,,,
158,6,5,2016,,,,
159,6,5,2017,,,,
160,6,5,2018,,,,
161,6,5,2019,,,,
162,6,7,2011,51.8,46.2,41.5,41.2
163,6,7,2012,28.6,26.3,24.6,17.4
164,6,7,2013,31.9,31.8,31.3,30.5
165,6,7,2014,58.6,32.5,32.1,32
166,6,7,2015,39,37.9,31.2,31
167,6,7,2016,37.2,26.8,23.8,23.7
168,6,7,2017,45.2,35.7,34.9,33
169,6,7,2018,411.7,299.9,197,192.5
170,6,7,2019,265,61,58,57
171,6,9,2011,152,80,64,62
172,6,9,2012,93,81,70,64
173,6,9,2013,170,169,139,136
174,6,9,2014,145,70,69,68
175,6,9,2015,985,972,816,782
176,6,9,2016,96,63,62,60
177,6,9,2017,184,159,104,104
178,6,9,2018,199,166,164,161
179,6,9,2019,69,42,41,36
180,6,11,2011,166,90,79,69
181,6,11,2012,801,477,447,430
182,6,11,2013,120,73,72,66
183,6,11,2014,59,58,54,52
184,6,11,2015,271,233,188,174
185,6,11,2016,179,177,67,60
186,6,11,2017,918,365,361,290
187,6,11,2018,260,254,250,242
188,6,11,2019,97,51,51,47
189,6,13,2011,47.5,39.7,34.8,29.1
190,6,13,2012,99,44,33,30
191,6,13,2013,61,60,59,56
192,6,13,2014,53,52,49,47
193,6,13,2015,72,65,59,57
194,6,13,2016,128,41,39,37
195,6,13,2017,218,191,175,164
196,6,13,2018,223,209,202,195
197,6,13,2019,49,49,45,45
198,6,15,2011,,,,
199,6,15,2012,,,,
200,6,15,2013,,,,
201,6,15,2014,,,,
202,6,15,2015,,,,
203,6,15,2016,54.2,52.4,52.1,44.2
204,6,15,2017,78.6,75.4,66.6,66.1
205,6,15,2018,61.5,53.3,51.2,43.8
206,6,15,2019,,,,
207,6,17,2011,,,,
208,6,17,2012,,,,
209,6,17,2013,,,,
210,6,17,2014,,,,
211,6,17,2015,,,,
212,6,17,2016,,,,
213,6,17,2017,,,,
214,6,17,2018,,,,
215,6,17,2019,,,,
216,6,19,2011,133.3,132.9,130.2,122.5
217,6,19,2012,138.9,132.7,121.4,117.9
218,6,19,2013,101.7,97,92.4,91.4
219,6,19,2014,96.1,93.4,89,87.4
220,6,19,2015,106.3,99.6,98.2,87.9
221,6,19,2016,137,112.9,102.7,98.7
222,6,19,2017,180.1,135.4,125.1,123.8
223,6,19,2018,137.4,133.9,132,131
224,6,19,2019,342.6,267.9,120.9,109.5
225,6,21,2011,,,,
226,6,21,2012,,,,
227,6,21,2013,,,,
228,6,21,2014,,,,
229,6,21,2015,,,,
230,6,21,2016,,,,
231,6,21,2017,,,,
232,6,21,2018,,,,
233,6,21,2019,,,,
234,6,23,2011,105.8,50.3,46.5,42.5
235,6,23,2012,82.2,71.7,65.1,63.4
236,6,23,2013,130.9,99.1,97.2,84.9
237,6,23,2014,179,173.5,155.7,142
238,6,23,2015,75.2,64.2,61.7,59.6
239,6,23,2016,20,19.3,16.4,16.3
240,6,23,2017,30.5,28,25.7,22.6
241,6,23,2018,16.3,14.9,14,13.9
242,6,23,2019,18.7,18.5,18.3,17.6
243,6,25,2011,32.4,28.4,26.9,25.3
244,6,25,2012,30.7,30.5,27.7,26.6
245,6,25,2013,36.3,28.2,27.4,26
246,6,25,2014,311,283,220,218
247,6,25,2015,448,387,283,232
248,6,25,2016,45.3,42.5,39.5,36.5
249,6,25,2017,45.8,44.4,36.8,34.3
250,6,25,2018,47.5,44.9,44.8,40.1
251,6,25,2019,53.1,29.7,28.9,27.8
252,6,27,2011,768.4,753,682.7,573.7
253,6,27,2012,517.8,486.6,441.4,391.1
254,6,27,2013,914,587.3,583.4,490
255,6,27,2014,955.1,695.6,606.9,466.7
256,6,27,2015,130.8,121.6,86.1,77.8
257,6,27,2016,81.9,66.9,62.3,61.7
258,6,27,2017,159.7,137.3,77.3,67.1
259,6,27,2018,121.9,120.4,112.9,107.2
260,6,27,2019,322.1,321.8,306.8,271.5
261,6,29,2011,192,183,122,102
262,6,29,2012,321,253,223,220
263,6,29,2013,354,277,272,267
264,6,29,2014,245,230,207,185
265,6,29,2015,410,217,175,170
266,6,29,2016,118,106,97,72
267,6,29,2017,76,75,74,72
268,6,29,2018,75,74,70,67
269,6,29,2019,207,170,106,105
270,6,31,2011,69,69,68,65
271,6,31,2012,161,127,114,108
272,6,31,2013,165,147,146,144
273,6,31,2014,169,162,154,146
274,6,31,2015,137,123,122,113
275,6,31,2016,107,102,90,84
276,6,31,2017,150.4,140.5,136.8,127.5
277,6,31,2018,121.7,120.4,119,116.6
278,6,31,2019,123.3,87.2,77.1,71.5
279,6,33,2011,8,7.7,6.6,6.5
280,6,33,2012,15.7,14,12.1,8.9
281,6,33,2013,18.5,7.6,7.2,6.7
282,6,33,2014,16.3,13.8,11.9,10.1
283,6,33,2015,7,6.8,5.7,5.7
284,6,33,2016,9.3,9.2,7.8,5.7
285,6,33,2017,5.5,5,4.9,4.5
286,6,33,2018,34.3,31.9,20.6,11.6
287,6,33,2019,8.3,7.9,6.9,5.8
288,6,35,2011,,,,
289,6,35,2012,,,,
290,6,35,2013,,,,
291,6,35,2014,,,,
292,6,35,2015,,,,
293,6,35,2016,,,,
294,6,35,2017,,,,
295,6,35,2018,,,,
296,6,35,2019,,,,
297,6,37,2011,49.5,30.6,26.9,26.3
298,6,37,2012,29.5,25.6,25.3,25.2
299,6,37,2013,29.6,28.6,26.4,25.8
300,6,37,2014,32.4,29.9,26.2,25.7
301,6,37,2015,44.3,30,28,23.4
302,6,37,2016,108,93,84,78.8
303,6,37,2017,145.7,106.8,106.2,99.5
304,6,37,2018,163.8,161.3,150.7,146.1
305,6,37,2019,144.4,102.6,94.5,68.6
306,6,39,2011,67,62,60,57
307,6,39,2012,151,109,88,87
308,6,39,2013,320,277,270,269
309,6,39,2014,83,71,66,65
310,6,39,2015,100,99,96,96
311,6,39,2016,93,83,75,74
312,6,39,2017,141.5,140.4,123.9,118.5
313,6,39,2018,143.3,133.3,121.5,117.5
314,6,39,2019,143.9,72.5,69,65
315,6,41,2011,116,94,68,56
316,6,41,2012,51,50,49,48
317,6,41,2013,207,76,75,72
318,6,41,2014,56,56,53,53
319,6,41,2015,88,78,73,65
320,6,41,2016,53,42,36,35
321,6,41,2017,273,267,262,240
322,6,41,2018,218,195,190,187
323,6,41,2019,40,39,37,36
324,6,43,2011,,,,
325,6,43,2012,,,,
326,6,43,2013,,,,
327,6,43,2014,,,,
328,6,43,2015,,,,
329,6,43,2016,,,,
330,6,43,2017,,,,
331,6,43,2018,,,,
332,6,43,2019,,,,
333,6,45,2011,52,51,48,44
334,6,45,2012,58,55,51,51
335,6,45,2013,43,43,40,40
336,6,45,2014,85,70,65,59
337,6,45,2015,59,55,55,53
338,6,45,2016,84,60,53,51
339,6,45,2017,142,129,98,86
340,6,45,2018,138,97,90,86
341,6,45,2019,64,63,54,52
342,6,47,2011,232,141,115,89
343,6,47,2012,71,70,70,67
344,6,47,2013,212,123,123,109
345,6,47,2014,100,99,98,97
346,6,47,2015,89,83,83,81
347,6,47,2016,87,80,79,74
348,6,47,2017,144,135,131,131
349,6,47,2018,140,139,137,136
350,6,47,2019,129,116,105,77
351,6,49,2011,,,,
352,6,49,2012,,,,
353,6,49,2013,,,,
354,6,49,2014,,,,
355,6,49,2015,,,,
356,6,49,2016,,,,
357,6,49,2017,,,,
358,6,49,2018,,,,
359,6,49,2019,,,,
360,6,51,2011,,,,
361,6,51,2012,,,,
362,6,51,2013,,,,
363,6,51,2014,,,,
364,6,51,2015,,,,
365,6,51,2016,,,,
366,6,51,2017,,,,
367,6,51,2018,121.1,106.2,102.8,100.9
368,6,51,2019,154.7,150.9,133.7,120
369,6,53,2011,86,85,85,66
370,6,53,2012,259,56,45,36
371,6,53,2013,120,109,102,85
372,6,53,2014,57,55,39,37
373,6,53,2015,116,108,86,84
374,6,53,2016,112,99,97,84
375,6,53,2017,84,79,77,76
376,6,53,2018,165,48,45,43
377,6,53,2019,66,57,32,30
378,6,55,2011,,,,
379,6,55,2012,82,80,63,62
380,6,55,2013,284,76,72,72
381,6,55,2014,85,77,72,69
382,6,55,2015,114,109,102,96
383,6,55,2016,81,80,80,71
384,6,55,2017,388,380,374,365
385,6,55,2018,63,56,54,50
386,6,55,2019,96,55,52,49
387,6,57,2011,10.2,9.9,9.7,9
388,6,57,2012,7.7,7.6,7.4,7.1
389,6,57,2013,28.5,28.2,15.8,12.5
390,6,57,2014,14.1,8.6,6.8,6.8
391,6,57,2015,11.5,11,10.4,8.1
392,6,57,2016,11.7,11.7,11.2,10.5
393,6,57,2017,21,17,16,16
394,6,57,2018,503,407,315,214
395,6,57,2019,39,38,34,31
396,6,59,2011,39.2,38.8,33.2,32.9
397,6,59,2012,50.1,43.1,42.9,42.5
398,6,59,2013,37.8,34.8,29.2,28.6
399,6,59,2014,40,39.4,38.8,31.3
400,6,59,2015,45.8,43.9,41.6,34.4
401,6,59,2016,135,92,74,72.7
402,6,59,2017,329,248.6,95.7,86.6
403,6,59,2018,207.7,197.4,194.9,182.9
404,6,59,2019,224,218.6,164,98.4
405,6,61,2011,42.3,23,22.6,20.5
406,6,61,2012,116,83,70,67
407,6,61,2013,102,87,85,81
408,6,61,2014,77,69,52,50
409,6,61,2015,61,55,54,54
410,6,61,2016,125,77,72,64
411,6,61,2017,71,54,49,46
412,6,61,2018,108,100,90,90
413,6,61,2019,57,55,47,47
414,6,63,2011,58.6,40,37.6,33.1
415,6,63,2012,36,30.7,29.1,28.6
416,6,63,2013,50.6,40.4,40,36.8
417,6,63,2014,39.2,33.2,30.2,28.4
418,6,63,2015,42,32.7,30.5,27.9
419,6,63,2016,37.1,34.9,33.9,33.3
420,6,63,2017,109.7,108.5,84.8,73.3
421,6,63,2018,56.2,51,42.4,39.2
422,6,63,2019,32.7,30.6,28,27.6
423,6,65,2011,43,41,39,36
424,6,65,2012,43,33,33,31
425,6,65,2013,45,44,42,38
426,6,65,2014,251,143,137,115
427,6,65,2015,304,272,266,133
428,6,65,2016,34,32,32,31
429,6,65,2017,56.5,48.8,44.7,44.3
430,6,65,2018,95.3,83.6,51.3,47.4
431,6,65,2019,43,42,36,33
432,6,67,2011,54.3,41.8,39.8,35.2
433,6,67,2012,35.3,35.1,27.1,26.5
434,6,67,2013,105,65,61,60
435,6,67,2014,63,56,50,49
436,6,67,2015,72,67,67,64
437,6,67,2016,98,91,61,59
438,6,67,2017,218,134,83,75
439,6,67,2018,408,391,347,297
440,6,67,2019,212,159,116,115
441,6,69,2011,180,164,86,45
442,6,69,2012,95,69,63.5,61
443,6,69,2013,141,127,58,47
444,6,69,2014,177,112,86,71
445,6,69,2015,95,43,38,34
446,6,69,2016,78,70,61,60
447,6,69,2017,138,130,94,93
448,6,69,2018,253,132,78,59
449,6,69,2019,137,113,64,53
450,6,71,2011,52.9,44.9,35.3,32.2
451,6,71,2012,35.2,29.2,28.6,28.5
452,6,71,2013,49.3,29.8,26.8,26.6
453,6,71,2014,34.6,29.6,25.6,23.2
454,6,71,2015,89.7,74.7,73.5,72.8
455,6,71,2016,128.6,121.7,120.8,113.8
456,6,71,2017,158.8,100.3,98.3,84.4
457,6,71,2018,187.3,175.1,166.5,159.6
458,6,71,2019,213.2,196,166,160.4
459,6,73,2011,58,55,53,52
460,6,73,2012,65,51,44,42
461,6,73,2013,61,48,38,36
462,6,73,2014,47.4,29.5,28.6,28.1
463,6,73,2015,97,93,91,90
464,6,73,2016,97,95,91,87
465,6,73,2017,291,224,188,186
466,6,73,2018,264,194,145,142
467,6,73,2019,93,88,78,76
